time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446850000	18.4071	6.86074	5.08202	1.02933	0.488409	radar	0.221722	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5619	7.00616	5.03676	1.02514	0.458181	lidar	3.48969	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.708	7.21578	5.04322	1.0342	0.432768	radar	0.472708	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9119	7.35384	5.01486	1.00875	0.379263	lidar	5.09282	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9919	7.58019	4.99315	1.06252	0.441749	radar	4.73035	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0869	7.82209	5.00136	1.0986	0.457794	lidar	0.459452	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2033	8.03851	4.99817	1.11642	0.449959	radar	0.409578	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2863	8.2488	4.97492	1.14426	0.457982	lidar	1.9479	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3815	8.46837	4.96847	1.16194	0.444332	radar	2.54586	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4807	8.62665	4.90787	1.16851	0.430641	lidar	6.30563	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5644	8.84992	4.89912	1.19787	0.447543	radar	0.895998	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7332	9.01617	4.87261	1.17733	0.399578	lidar	5.29606	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.7976	9.25143	4.86774	1.21842	0.438228	radar	1.05027	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9353	9.45711	4.86509	1.21455	0.408403	lidar	2.74569	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9706	9.69594	4.85314	1.26969	0.471473	radar	2.99398	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0644	9.9166	4.84982	1.28171	0.458288	lidar	0.492758	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1208	10.1648	4.86285	1.30606	0.451782	radar	6.56035	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.174	10.4138	4.87368	1.33367	0.456775	lidar	0.173413	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1841	10.658	4.86575	1.38644	0.508806	radar	3.00436	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2479	10.9091	4.88163	1.4045	0.499161	lidar	1.30921	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2759	11.1619	4.89177	1.43094	0.494566	radar	4.65456	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.312	11.3939	4.88287	1.45257	0.491802	lidar	0.115128	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2526	11.6476	4.87532	1.53593	0.595209	radar	10.5947	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3268	11.881	4.87463	1.53729	0.563464	lidar	4.69279	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3524	12.1175	4.87208	1.5387	0.505685	radar	3.91134	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3444	12.3848	4.89404	1.57028	0.510639	lidar	0.699348	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2916	12.6266	4.88665	1.63274	0.579743	radar	3.20294	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3172	12.8638	4.88207	1.64416	0.560823	lidar	1.83756	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3021	13.0998	4.87538	1.67184	0.564615	radar	2.17458	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2649	13.3174	4.85213	1.70345	0.570505	lidar	1.39302	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2246	13.5545	4.84976	1.72902	0.559631	radar	1.37526	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2077	13.8033	4.85778	1.74735	0.548379	lidar	1.1043	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1491	14.0344	4.85214	1.78541	0.569657	radar	0.901548	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0974	14.2799	4.86076	1.81229	0.567114	lidar	0.198361	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0245	14.5101	4.85779	1.84346	0.567522	radar	1.43686	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9208	14.7524	4.87261	1.88442	0.579748	lidar	1.11436	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8526	14.9748	4.86202	1.90044	0.550555	radar	3.51728	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8191	15.1977	4.84613	1.91069	0.53347	lidar	2.24254	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6838	15.4084	4.84603	1.99158	0.648791	radar	7.68216	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6464	15.6096	4.81169	2.00231	0.628603	lidar	4.11468	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5486	15.8211	4.80429	2.02829	0.616948	radar	1.52	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4464	16.0304	4.79798	2.05714	0.615407	lidar	0.0677215	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3425	16.2429	4.79384	2.07062	0.575234	radar	1.98511	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2299	16.4241	4.76719	2.10144	0.579897	lidar	1.22021	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.108	16.625	4.76424	2.13102	0.582054	radar	0.341985	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	18.9829	16.8266	4.76408	2.1584	0.580224	lidar	0.0291903	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8256	17.0165	4.77332	2.21916	0.652836	radar	6.15037	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6649	17.2322	4.80373	2.25117	0.649429	lidar	1.34273	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5592	17.4424	4.79366	2.23166	0.540945	radar	6.33604	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3554	17.6205	4.81322	2.27736	0.55903	lidar	3.68656	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2179	17.8138	4.80792	2.27848	0.500582	radar	2.35162	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0855	18.0012	4.79945	2.29423	0.491457	lidar	0.928483	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9076	18.1574	4.79405	2.33931	0.532132	radar	2.08709	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7682	18.3092	4.7626	2.3615	0.529877	lidar	1.40825	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6307	18.4945	4.75661	2.36778	0.498898	radar	6.70456	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4455	18.6661	4.77057	2.39459	0.49985	lidar	0.277253	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
